 Vector Snapshot (JSVecx - Normalized to -127..+127)
Vector Count: 388 

#	X0 (DAC)	Y0 (DAC)	X1 (DAC)	Y1 (DAC)	Color	Length	Raw X0	Raw Y0
87	-5.86	42.77	-4.13	42.77	127	1.72	15739	27404
88	2.76	42.77	3.19	42.77	127	0.43	16859	27404
89	9.66	42.77	10.09	42.77	127	0.43	17755	27404
90	11.38	42.77	11.81	42.77	127	0.43	17979	27404
91	18.28	42.77	18.71	42.77	127	0.43	18875	27404
92	25.18	42.77	25.61	42.77	127	0.43	19771	27404
93	26.47	42.77	27.33	42.77	127	0.86	19939	27404
94	33.80	42.77	34.23	42.77	127	0.43	20891	27404
95	40.69	42.77	41.12	42.77	127	0.43	21787	27404
96	41.99	42.77	42.85	42.77	127	0.86	21955	27404
97	48.45	42.77	48.88	42.77	127	0.43	22795	27404
98	49.75	42.77	50.61	42.77	127	0.86	22963	27404
99	-36.89	43.39	-36.46	43.39	127	0.43	11707	27504
100	-29.13	43.39	-28.70	43.39	127	0.43	12715	27504
101	-27.41	43.39	-26.98	43.39	127	0.43	12939	27504
102	-20.51	43.39	-20.08	43.39	127	0.43	13835	27504
103	-13.62	43.39	-13.18	43.39	127	0.43	14731	27504
104	-5.86	43.39	-5.43	43.39	127	0.43	15739	27504
105	-5.00	43.39	-4.56	43.39	127	0.43	15851	27504
106	2.76	43.39	3.19	43.39	127	0.43	16859	27504
107	9.66	43.39	11.81	43.39	127	2.16	17755	27504
108	18.28	43.39	18.71	43.39	127	0.43	18875	27504
109	25.18	43.39	25.61	43.39	127	0.43	19771	27504
110	26.90	43.39	27.33	43.39	127	0.43	19995	27504
111	33.80	43.39	34.23	43.39	127	0.43	20891	27504
112	40.69	43.39	41.12	43.39	127	0.43	21787	27504
113	42.42	43.39	42.85	43.39	127	0.43	22011	27504
114	48.45	43.39	48.88	43.39	127	0.43	22795	27504
115	50.18	43.39	50.61	43.39	127	0.43	23019	27504
116	-36.89	44.01	-36.46	44.01	127	0.43	11707	27604
117	-29.13	44.01	-28.70	44.01	127	0.43	12715	27604
118	-27.41	44.01	-26.98	44.01	127	0.43	12939	27604
119	-20.51	44.01	-20.08	44.01	127	0.43	13835	27604
120	-13.62	44.01	-13.18	44.01	127	0.43	14731	27604
121	-5.86	44.01	-5.43	44.01	127	0.43	15739	27604
122	-4.56	44.01	-4.13	44.01	127	0.43	15907	27604
123	2.76	44.01	3.19	44.01	127	0.43	16859	27604
124	9.66	44.01	10.09	44.01	127	0.43	17755	27604
125	11.38	44.01	11.81	44.01	127	0.43	17979	27604
126	18.28	44.01	18.71	44.01	127	0.43	18875	27604
127	25.18	44.01	25.61	44.01	127	0.43	19771	27604
128	26.90	44.01	27.33	44.01	127	0.43	19995	27604
129	33.80	44.01	34.23	44.01	127	0.43	20891	27604
130	40.69	44.01	41.12	44.01	127	0.43	21787	27604
131	42.42	44.01	42.85	44.01	127	0.43	22011	27604
132	48.45	44.01	48.88	44.01	127	0.43	22795	27604
133	50.18	44.01	50.61	44.01	127	0.43	23019	27604
134	-36.89	44.63	-34.74	44.63	127	2.16	11707	27704
135	-29.13	44.63	-28.70	44.63	127	0.43	12715	27704
136	-27.41	44.63	-26.98	44.63	127	0.43	12939	27704
137	-20.51	44.63	-20.08	44.63	127	0.43	13835	27704
138	-13.62	44.63	-11.46	44.63	127	2.16	14731	27704
139	-5.86	44.63	-5.43	44.63	127	0.43	15739	27704
140	-4.13	44.63	-3.70	44.63	127	0.43	15963	27704
141	2.76	44.63	3.19	44.63	127	0.43	16859	27704
142	9.66	44.63	10.09	44.63	127	0.43	17755	27704
143	11.38	44.63	11.81	44.63	127	0.43	17979	27704
144	17.85	44.63	19.14	44.63	127	1.29	18819	27704
145	25.18	44.63	25.61	44.63	127	0.43	19771	27704
146	26.90	44.63	27.33	44.63	127	0.43	19995	27704
147	33.37	44.63	34.66	44.63	127	1.29	20835	27704
148	40.69	44.63	41.12	44.63	127	0.43	21787	27704
149	42.42	44.63	42.85	44.63	127	0.43	22011	27704
150	48.88	44.63	50.61	44.63	127	1.72	22851	27704
151	-26.14	53.50	-25.71	53.50	127	0.43	13104	29136
152	-24.41	53.50	-23.98	53.50	127	0.43	13328	29136
153	-18.38	53.50	-16.23	53.50	127	2.16	14112	29136
154	-10.62	53.50	-10.19	53.50	127	0.43	15120	29136
155	-8.90	53.50	-8.47	53.50	127	0.43	15344	29136
156	5.33	53.50	6.62	53.50	127	1.29	17192	29136
157	12.65	53.50	14.38	53.50	127	1.72	18144	29136
158	20.41	53.50	22.57	53.50	127	2.16	19152	29136
159	29.03	53.50	29.46	53.50	127	0.43	20272	29136
160	36.36	53.50	37.65	53.50	127	1.29	21224	29136
