Vector Snapshot (Rust Emulator)
Vector Count: 868 

#	X0	Y0	X1	Y1	Color	Length
108	-10.00	30.00	-8.00	30.00	127	2.00
109	-3.00	30.00	-2.00	30.00	127	1.00
110	-1.00	30.00	0.00	30.00	127	1.00
111	0.00	30.00	0.00	30.00	127	0.00
112	1.00	30.00	2.00	30.00	127	1.00
113	8.00	30.00	9.00	30.00	127	1.00
114	12.00	30.00	14.00	30.00	127	2.00
115	19.00	30.00	20.00	30.00	127	1.00
116	31.00	30.00	31.00	30.00	127	0.00
117	35.00	30.00	37.00	30.00	127	2.00
118	-43.00	27.00	-42.00	27.00	127	1.00
119	-38.00	27.00	-37.00	27.00	127	1.00
120	-31.00	27.00	-31.00	27.00	127	0.00
121	-20.00	27.00	-19.00	27.00	127	1.00
122	-6.00	27.00	-6.00	27.00	127	0.00
123	-6.00	27.00	-5.00	27.00	127	1.00
124	2.00	27.00	3.00	27.00	127	1.00
125	7.00	27.00	8.00	27.00	127	1.00
126	14.00	27.00	14.00	27.00	127	0.00
127	26.00	27.00	27.00	27.00	127	1.00
128	28.00	27.00	30.00	27.00	127	2.00
129	-48.00	25.00	-47.00	25.00	127	1.00
130	-45.00	25.00	-44.00	25.00	127	1.00
131	-37.00	25.00	-34.00	25.00	127	3.00
132	-34.00	25.00	-34.00	25.00	127	0.00
133	-26.00	25.00	-25.00	25.00	127	1.00
134	-12.00	25.00	-12.00	25.00	127	0.00
135	-12.00	25.00	-11.00	25.00	127	1.00
136	-3.00	25.00	0.00	25.00	127	3.00
137	0.00	25.00	1.00	25.00	127	1.00
138	8.00	25.00	10.00	25.00	127	2.00
139	10.00	25.00	11.00	25.00	127	1.00
140	21.00	25.00	22.00	25.00	127	1.00
141	22.00	25.00	23.00	25.00	127	1.00
142	-54.00	22.00	-52.00	22.00	127	2.00
143	-51.00	22.00	-50.00	22.00	127	1.00
144	-43.00	22.00	-42.00	22.00	127	1.00
145	-31.00	22.00	-31.00	22.00	127	0.00
146	-18.00	22.00	-17.00	22.00	127	1.00
147	-17.00	22.00	-17.00	22.00	127	0.00
148	-8.00	22.00	-8.00	22.00	127	0.00
149	-6.00	22.00	-6.00	22.00	127	0.00
150	-6.00	22.00	-5.00	22.00	127	1.00
151	2.00	22.00	3.00	22.00	127	1.00
152	14.00	22.00	16.00	22.00	127	2.00
153	17.00	22.00	18.00	22.00	127	1.00
154	-58.00	20.00	-57.00	20.00	127	1.00
155	-57.00	20.00	-57.00	20.00	127	0.00
156	-49.00	20.00	-48.00	20.00	127	1.00
157	-37.00	20.00	-36.00	20.00	127	1.00
158	-33.00	20.00	-31.00	20.00	127	2.00
159	-24.00	20.00	-23.00	20.00	127	1.00
160	-23.00	20.00	-22.00	20.00	127	1.00
161	-14.00	20.00	-13.00	20.00	127	1.00
162	-11.00	20.00	-10.00	20.00	127	1.00
163	-3.00	20.00	-2.00	20.00	127	1.00
