"filename", "language", "Rust", "Markdown", "Python", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Ignore", "Assembler file", "YAML", "PowerShell", "C", "C++", "PostCSS", "HTML", "Batch", "Makefile", "WebAssembly Text Format", "Shell Script", "XML", "CMake Cache", "CMake", "Assembler list file", "TypeScript JSX", "comment", "blank", "total"
"/Users/daniel/projects/vectrex-pseudo-python/NATIVE_ASSEMBLER_COMPLETE.md", "Markdown", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 243
"/Users/daniel/projects/vectrex-pseudo-python/OLLAMA_SETUP.md", "Markdown", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 174
"/Users/daniel/projects/vectrex-pseudo-python/PDB_POPULATION_PLAN.md", "Markdown", 0, 446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 561
"/Users/daniel/projects/vectrex-pseudo-python/PDB_REAL_ADDRESSES_COMPLETE.md", "Markdown", 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 232
"/Users/daniel/projects/vectrex-pseudo-python/PERSISTENT_STORAGE_FIX.md", "Markdown", 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 308
"/Users/daniel/projects/vectrex-pseudo-python/PHASE_3_FUNCTIONS_METADATA_COMPLETE.md", "Markdown", 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 285
"/Users/daniel/projects/vectrex-pseudo-python/PHASE_3_LINEMAP_COMPLETE.md", "Markdown", 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 231
"/Users/daniel/projects/vectrex-pseudo-python/PHASE_4_NATIVE_CALL_TRACKING_COMPLETE.md", "Markdown", 0, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 304
"/Users/daniel/projects/vectrex-pseudo-python/PHASE_5_BREAKPOINT_INTEGRATION_COMPLETE.md", "Markdown", 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 522
"/Users/daniel/projects/vectrex-pseudo-python/PHASE_5_DEBUG_INTEGRATION_PROGRESS.md", "Markdown", 0, 584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 734
"/Users/daniel/projects/vectrex-pseudo-python/PHASE_6_UI_ENHANCEMENTS.md", "Markdown", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 253
"/Users/daniel/projects/vectrex-pseudo-python/PROJECT_SYSTEM_TODO.md", "Markdown", 0, 469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 588
"/Users/daniel/projects/vectrex-pseudo-python/PYPILOT_ENHANCEMENTS.md", "Markdown", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 193
"/Users/daniel/projects/vectrex-pseudo-python/PYPILOT_PERSISTENCE_COMPLETE.md", "Markdown", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 265
"/Users/daniel/projects/vectrex-pseudo-python/README.md", "Markdown", 0, 781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 991
"/Users/daniel/projects/vectrex-pseudo-python/REFACTOR_PROGRESS.md", "Markdown", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 256
"/Users/daniel/projects/vectrex-pseudo-python/SEMANTIC_VALIDATION_COMPLETE.md", "Markdown", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 259
"/Users/daniel/projects/vectrex-pseudo-python/SESSION_SUMMARY_LINEMAP_COMPLETE.md", "Markdown", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 209
"/Users/daniel/projects/vectrex-pseudo-python/SETUP.md", "Markdown", 0, 531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 692
"/Users/daniel/projects/vectrex-pseudo-python/SNAPSHOT_ANALYSIS.md", "Markdown", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 149
"/Users/daniel/projects/vectrex-pseudo-python/SNAPSHOT_COMPARISON_FINAL.md", "Markdown", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 176
"/Users/daniel/projects/vectrex-pseudo-python/SUPER_FIX.md", "Markdown", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 244
"/Users/daniel/projects/vectrex-pseudo-python/SUPER_SUMMARY.md", "Markdown", 0, 1719, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 346, 2065
"/Users/daniel/projects/vectrex-pseudo-python/SYNTAX_UNIFICATION_COMPLETE.md", "Markdown", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 109
"/Users/daniel/projects/vectrex-pseudo-python/TABLE_UPDATE_COMPLETE.md", "Markdown", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 177
"/Users/daniel/projects/vectrex-pseudo-python/TOOLCHAIN_INSTALLED.md", "Markdown", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 209
